Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,lag_demand_1,lag_demand_7,lag_demand_30,rolling_mean_7,rolling_mean_30,seasonal_index,expected_promo_uplift,price_elasticity,stock_cover_days,inventory_turnover,lead_time_demand
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,0.0,0.0,0.0,0.0,0.0,1.0096550398328077,0.0,-4.828975578189656,0.0,0.5495456512332324,0.0
2022-01-02,S001,P0001,Groceries,West,116,81,104,92.94,27.95,10,Cloudy,0,30.89,Spring,127.0,0.0,0.0,0.0,0.0,0.9953244926435111,0.0,-4.828975578189656,0.0,0.6976744186046512,0.0
2022-01-03,S001,P0001,Electronics,West,154,5,189,5.36,62.7,20,Rainy,0,58.22,Winter,81.0,0.0,0.0,0.0,0.0,1.0026814243408946,0.0,-4.828975578189656,0.0,0.03244646333549643,0.0
2022-01-04,S001,P0001,Groceries,South,85,58,193,52.87,77.88,15,Cloudy,1,75.99,Winter,5.0,0.0,0.0,0.0,0.0,1.0026814243408946,0.0,-4.828975578189656,0.0,0.6815511163337251,0.0
2022-01-05,S001,P0001,Groceries,South,238,147,37,150.27,28.46,20,Sunny,1,29.4,Winter,58.0,0.0,0.0,0.0,0.0,1.0026814243408946,0.0,-4.828975578189656,0.0,0.617387652246955,0.0
2022-01-06,S001,P0001,Electronics,East,198,37,155,39.09,91.05,5,Snowy,0,87.3,Summer,147.0,0.0,0.0,0.0,0.0,0.9924041127832443,0.0,-4.828975578189656,0.0,0.1867743563856638,0.0
2022-01-07,S001,P0001,Furniture,North,195,107,106,117.92,53.99,10,Sunny,1,58.8,Winter,37.0,0.0,0.0,80.28571428571429,0.0,1.0026814243408946,0.0,-4.828975578189656,2.4258041585214145,0.548436699128652,562.0
2022-01-08,S001,P0001,Furniture,East,231,2,119,0.84,66.3,20,Cloudy,1,63.82,Winter,107.0,127.0,0.0,62.42857142857143,0.0,1.0026814243408946,0.0,-4.828975578189656,3.6943111720356407,0.008654262224145393,437.0
2022-01-09,S001,P0001,Electronics,South,373,350,178,352.24,41.72,0,Sunny,1,38.68,Summer,2.0,81.0,0.0,100.85714285714286,0.0,0.9924041127832443,0.0,-4.828975578189656,3.6946370454223856,0.9380863039399624,706.0
2022-01-10,S001,P0001,Electronics,West,327,36,132,39.5,32.68,5,Snowy,1,34.71,Summer,350.0,5.0,0.0,105.28571428571429,0.0,0.9924041127832443,0.0,-4.828975578189656,3.1028873525823504,0.11005808621216752,737.0
2022-01-11,S001,P0001,Furniture,West,101,16,193,16.11,27.53,5,Rainy,1,27.08,Autumn,36.0,58.0,0.0,99.28571428571429,0.0,1.0096550398328077,0.0,-4.828975578189656,1.0162426333189594,0.15825914935707222,695.0
2022-01-12,S001,P0001,Toys,South,145,104,189,100.32,92.92,0,Snowy,0,97.59,Winter,16.0,147.0,0.0,93.14285714285714,0.0,1.0026814243408946,0.0,-4.828975578189656,1.5550789030182322,0.7167470709855273,652.0
2022-01-13,S001,P0001,Furniture,East,110,80,190,78.64,17.27,15,Snowy,1,21.79,Spring,104.0,37.0,0.0,99.28571428571429,0.0,0.9953244926435111,0.0,-4.828975578189656,1.1067989075751041,0.7266121707538602,695.0
2022-01-14,S001,P0001,Toys,North,199,177,44,193.23,90.05,20,Snowy,0,87.05,Winter,80.0,107.0,0.0,109.28571428571429,0.0,1.0026814243408946,0.0,-4.828975578189656,1.8192503591484916,0.8890005022601708,765.0
2022-01-15,S001,P0001,Groceries,North,290,176,94,170.06,98.04,10,Rainy,1,98.2,Spring,177.0,2.0,0.0,134.14285714285714,0.0,0.9953244926435111,0.0,-4.828975578189656,2.160263914015111,0.6066873491899345,939.0
2022-01-16,S001,P0001,Groceries,East,104,97,189,114.65,11.39,15,Snowy,0,7.96,Winter,176.0,350.0,0.0,98.0,0.0,1.0026814243408946,0.0,-4.828975578189656,1.0601427115188584,0.9317963496637849,686.0
